triplet_name,shape_name,RT
type_1,orange_square.png,2837.7401
type_1,oceanblue_splash.png,4423.4052
type_1,pink_purple_asterix.png,3246.4486
type_2,turquoisedark_yes.png,3845.7249
type_2,sonce_lok.png,2959.0852
type_2,black_arrow.png,3337.8443
type_3,yellow_srp.png,3968.7353
type_3,purple_circle.png,3399.2442
type_3,lime_moon.png,3247.7915
type_2,turquoisedark_yes.png,3621.0831
type_2,red_heart.png,3397.969
type_2,blue_triangle.png,3705.1375
type_3,yellow_srp.png,6712.4288
type_3,grey_arrow.png,4346.5095
type_3,brown_diamond.png,3269.2261
type_2,lila_stick.png,4590.249
type_2,red_heart.png,4074.7288
type_2,blue_triangle.png,4784.0854
type_1,frog_kot.png,4317.2411
type_1,pale_cross.png,3926.945
type_1,burgundy_spaka.png,3971.0272
type_3,yellow_srp.png,4102.0502
type_3,purple_circle.png,3661.7343
type_3,pink_hourglass.png,4770.2306
type_1,frog_kot.png,4577.345
type_1,oceanblue_splash.png,3290.2877
type_1,turquoise_cross.png,4544.5578
type_3,yellow_srp.png,4065.5037
type_3,grey_arrow.png,8184.2029
type_3,fuxia_flag.png,4817.1454
type_2,lila_stick.png,4432.2092
type_2,sonce_lok.png,3588.6131
type_2,black_arrow.png,5690.5053
type_1,orange_square.png,3836.1995
type_1,pale_cross.png,5166.8569
type_1,green_pentagonn.png,5596.647
type_2,lila_stick.png,3987.4116
type_2,red_heart.png,5412.4972
type_2,blue_triangle.png,6362.1683
type_2,turquoisedark_yes.png,4553.5313
type_2,sonce_lok.png,4252.9902
type_2,black_arrow.png,7268.444
type_3,yellow_srp.png,2798.9842
type_3,grey_arrow.png,3230.5225
type_3,brown_diamond.png,3904.4662
type_1,frog_kot.png,4588.1108
type_1,pale_cross.png,3487.5066
type_1,burgundy_spaka.png,4405.4793
type_3,yellow_srp.png,4650.2351
type_3,purple_circle.png,4404.8052
type_3,pink_hourglass.png,5480.509
type_1,orange_square.png,3365.5699
type_1,pale_cross.png,4452.2304
type_1,green_pentagonn.png,3490.0529
type_1,orange_square.png,2760.856
type_1,oceanblue_splash.png,3497.3579
type_1,pink_purple_asterix.png,3403.6445
type_2,turquoisedark_yes.png,7538.5538
type_2,red_heart.png,3775.3918
type_2,blue_triangle.png,5174.435
type_2,lila_stick.png,6573.0577
type_2,sonce_lok.png,4646.9345
type_2,black_arrow.png,5374.2077
type_3,yellow_srp.png,2818.823
type_3,grey_arrow.png,2879.6185
type_3,fuxia_flag.png,3895.5444
type_3,yellow_srp.png,2430.6763
type_3,purple_circle.png,4579.743
type_3,lime_moon.png,3959.9801
type_1,frog_kot.png,3770.9248
type_1,oceanblue_splash.png,4417.2992
type_1,turquoise_cross.png,3636.0414
type_1,frog_kot.png,3221.5214
type_1,oceanblue_splash.png,2351.5133
type_1,turquoise_cross.png,2910.0222
type_1,orange_square.png,2087.6162
type_1,oceanblue_splash.png,1795.9989
type_1,pink_purple_asterix.png,2002.8169
type_2,turquoisedark_yes.png,1980.1961
type_2,sonce_lok.png,1835.8485
type_2,black_arrow.png,19187.3972
type_3,yellow_srp.png,2683.8333
type_3,grey_arrow.png,2442.2385
type_3,fuxia_flag.png,1923.2179
type_3,yellow_srp.png,1808.6205
type_3,purple_circle.png,2575.5456
type_3,lime_moon.png,1803.0643
type_3,yellow_srp.png,2851.3207
type_3,grey_arrow.png,2451.919
type_3,brown_diamond.png,2013.5394
type_2,turquoisedark_yes.png,2264.7193
type_2,red_heart.png,2161.364
type_2,blue_triangle.png,1979.8799
type_3,yellow_srp.png,2158.4618
type_3,purple_circle.png,2310.0819
type_3,pink_hourglass.png,2388.7572
type_1,frog_kot.png,2275.2982
type_1,pale_cross.png,3208.4293
type_1,burgundy_spaka.png,2419.7868
type_2,lila_stick.png,2489.2963
type_2,red_heart.png,2900.68
type_2,blue_triangle.png,2282.3368
type_2,lila_stick.png,2962.2616
type_2,sonce_lok.png,2411.8495
type_2,black_arrow.png,3764.1639
type_1,orange_square.png,2345.063
type_1,pale_cross.png,2247.2313
type_1,green_pentagonn.png,1994.0056
type_2,turquoisedark_yes.png,2530.442
type_2,sonce_lok.png,2711.0217
type_2,black_arrow.png,2166.5599
type_3,yellow_srp.png,2148.3249
type_3,grey_arrow.png,2068.3185
type_3,brown_diamond.png,2319.1995
type_3,yellow_srp.png,1912.9134
type_3,purple_circle.png,1981.2632
type_3,pink_hourglass.png,5150.5219
type_2,turquoisedark_yes.png,2166.1768
type_2,red_heart.png,2593.5872
type_2,blue_triangle.png,2462.9684
type_1,frog_kot.png,2835.1968
type_1,pale_cross.png,2532.4202
type_1,burgundy_spaka.png,3790.6789
type_3,yellow_srp.png,2229.4513
type_3,purple_circle.png,1833.8377
type_3,lime_moon.png,2200.2792
type_1,orange_square.png,2031.0798
type_1,oceanblue_splash.png,1848.8971
type_1,pink_purple_asterix.png,4846.5027
type_2,lila_stick.png,2589.8646
type_2,red_heart.png,2649.3968
type_2,blue_triangle.png,2381.964
type_2,lila_stick.png,6233.2382
type_2,sonce_lok.png,2323.8491
type_2,black_arrow.png,2637.9357
type_1,orange_square.png,1667.3041
type_1,pale_cross.png,2943.5077
type_1,green_pentagonn.png,2215.9256
type_1,frog_kot.png,2200.1806
type_1,oceanblue_splash.png,2171.0591
type_1,turquoise_cross.png,2764.8009
type_3,yellow_srp.png,2378.9881
type_3,grey_arrow.png,1953.9352
type_3,fuxia_flag.png,1690.4509
type_1,orange_square.png,1670.5682
type_1,pale_cross.png,1920.4981
type_1,green_pentagonn.png,1691.8659
type_3,yellow_srp.png,1934.7407
type_3,purple_circle.png,1831.0075
type_3,lime_moon.png,2607.2951
type_2,turquoisedark_yes.png,2818.9403
type_2,red_heart.png,2020.771
type_2,blue_triangle.png,2450.6278
type_1,frog_kot.png,2360.3161
type_1,oceanblue_splash.png,2245.9803
type_1,turquoise_cross.png,2615.8563
type_3,yellow_srp.png,2122.3959
type_3,grey_arrow.png,2540.7272
type_3,brown_diamond.png,1792.7178
type_2,lila_stick.png,2711.1542
type_2,red_heart.png,2046.1794
type_2,blue_triangle.png,2342.6016
type_1,frog_kot.png,2557.9106
type_1,pale_cross.png,2324.5337
type_1,burgundy_spaka.png,2252.5041
type_1,orange_square.png,1925.831
type_1,oceanblue_splash.png,1765.5034
type_1,pink_purple_asterix.png,2173.7637
type_2,lila_stick.png,2881.9641
type_2,sonce_lok.png,2506.208
type_2,black_arrow.png,2299.3462
type_2,turquoisedark_yes.png,2447.9199
type_2,sonce_lok.png,2025.5881
type_2,black_arrow.png,1848.994
type_3,yellow_srp.png,1862.8998
type_3,purple_circle.png,2302.7851
type_3,pink_hourglass.png,3792.9937
type_3,yellow_srp.png,1763.3717
type_3,grey_arrow.png,1309.5556
type_3,fuxia_flag.png,1778.0231
type_2,lila_stick.png,2352.6629
type_2,red_heart.png,1968.3099
type_2,blue_triangle.png,1710.3686
type_3,yellow_srp.png,5385.2798
type_3,grey_arrow.png,2327.8468
type_3,fuxia_flag.png,1896.738
type_1,orange_square.png,1560.1942
type_1,oceanblue_splash.png,1407.0669
type_1,pink_purple_asterix.png,1420.2883
type_3,yellow_srp.png,5001.6693
type_3,grey_arrow.png,1520.1603
type_3,brown_diamond.png,2809.8453
type_3,yellow_srp.png,1293.626
type_3,purple_circle.png,1681.3304
type_3,pink_hourglass.png,2054.3048
type_1,frog_kot.png,1693.1995
type_1,pale_cross.png,1906.3247
type_1,burgundy_spaka.png,1844.0088
type_1,orange_square.png,1800.4266
type_1,pale_cross.png,3159.7865
type_1,green_pentagonn.png,2009.0379
type_3,yellow_srp.png,1849.0318
type_3,purple_circle.png,2053.9694
type_3,lime_moon.png,1872.5721
type_2,turquoisedark_yes.png,2326.6854
type_2,red_heart.png,2427.905
type_2,blue_triangle.png,2673.7677
type_1,frog_kot.png,2076.0617
type_1,oceanblue_splash.png,2620.7505
type_1,turquoise_cross.png,2645.0938
type_2,turquoisedark_yes.png,3642.4965
type_2,sonce_lok.png,1809.9801
type_2,black_arrow.png,1862.8985
type_2,lila_stick.png,2178.3191
type_2,sonce_lok.png,1898.7919
type_2,black_arrow.png,1899.9328
type_2,lila_stick.png,2137.8094
type_2,red_heart.png,1919.8074
type_2,blue_triangle.png,1670.8153
type_2,turquoisedark_yes.png,2278.5675
type_2,sonce_lok.png,1660.6341
type_2,black_arrow.png,1830.2462
type_2,turquoisedark_yes.png,1767.0965
type_2,red_heart.png,1641.453
type_2,blue_triangle.png,1708.4913
type_3,yellow_srp.png,3260.2197
type_3,grey_arrow.png,3203.7356
type_3,fuxia_flag.png,2375.9614
type_1,frog_kot.png,2117.2716
type_1,pale_cross.png,1971.8954
type_1,burgundy_spaka.png,2515.955
type_1,orange_square.png,1687.0531
type_1,oceanblue_splash.png,1521.8121
type_1,pink_purple_asterix.png,1789.007
type_3,yellow_srp.png,2472.0493
type_3,purple_circle.png,6613.2001
type_3,pink_hourglass.png,2212.0978
type_1,orange_square.png,1655.4512
type_1,pale_cross.png,2513.5331
type_1,green_pentagonn.png,2100.0472
type_3,yellow_srp.png,1412.0121
type_3,purple_circle.png,1727.6617
type_3,lime_moon.png,1591.9363
type_1,frog_kot.png,1731.0989
type_1,oceanblue_splash.png,1458.3836
type_1,turquoise_cross.png,1422.0844
type_3,yellow_srp.png,7384.4898
type_3,grey_arrow.png,5064.6926
type_3,brown_diamond.png,2098.352
type_2,lila_stick.png,3263.7256
type_2,sonce_lok.png,1740.2688
type_2,black_arrow.png,1766.9127
type_1,frog_kot.png,3562.0066
type_1,pale_cross.png,1998.5486
type_1,burgundy_spaka.png,1984.1921
type_1,orange_square.png,1557.1903
type_1,pale_cross.png,2415.7426
type_1,green_pentagonn.png,2050.2032
type_2,turquoisedark_yes.png,2607.9337
type_2,sonce_lok.png,1819.9853
type_2,black_arrow.png,2044.0154
type_1,orange_square.png,1451.8248
type_1,oceanblue_splash.png,2004.7439
type_1,pink_purple_asterix.png,2365.6703
type_3,yellow_srp.png,2387.9597
type_3,grey_arrow.png,2310.093
type_3,brown_diamond.png,1813.7074
type_3,yellow_srp.png,1504.0197
type_3,purple_circle.png,1339.5
type_3,pink_hourglass.png,1640.2559
type_3,yellow_srp.png,1240.0224
type_3,purple_circle.png,1473.9253
type_3,lime_moon.png,1309.1561
