triplet_name,shape_name,RT
type_2,green_pentagonn.png,2239.3586
type_2,turquoisedark_yes.png,2656.3956
type_2,black_arrow.png,2558.3682
type_2,pink_hourglass.png,3227.1541
type_2,turquoisedark_yes.png,2868.9699
type_2,black_arrow.png,2465.32
type_1,yellow_srp.png,2896.3119
type_1,brown_diamond.png,2517.7558
type_1,frog_kot.png,2758.9217
type_1,fuxia_flag.png,3188.4286
type_1,lila_stick.png,2761.0759
type_1,pink_purple_asterix.png,3128.7215
type_1,fuxia_flag.png,2823.0979
type_1,brown_diamond.png,2806.553
type_1,oceanblue_splash.png,2426.864
type_2,pink_hourglass.png,2630.0749
type_2,burgundy_spaka.png,2989.1512
type_2,turquoise_cross.png,2469.947
type_1,yellow_srp.png,2863.5935
type_1,lila_stick.png,2658.0599
type_1,sonce_lok.png,3510.1809
type_3,orange_square.png,3375.617
type_3,pale_cross.png,2313.8207
type_3,grey_arrow.png,2783.1821
type_3,orange_square.png,2659.4515
type_3,pale_cross.png,1996.0783
type_3,lime_moon.png,2300.8695
type_2,green_pentagonn.png,2382.6948
type_2,burgundy_spaka.png,2423.127
type_2,turquoise_cross.png,3181.2292
type_3,orange_square.png,2345.0805
type_3,blue_triangle.png,2911.879
type_3,purple_circle.png,2654.1019
type_3,orange_square.png,2512.1567
type_3,blue_triangle.png,2531.3728
type_3,red_heart.png,2552.4041
type_2,green_pentagonn.png,2558.8023
type_2,turquoisedark_yes.png,3532.1512
type_2,black_arrow.png,3295.3721
type_3,orange_square.png,2576.7228
type_3,pale_cross.png,3270.361
type_3,lime_moon.png,3156.8673
type_3,orange_square.png,2753.4708
type_3,blue_triangle.png,3333.5909
type_3,red_heart.png,2645.5777
type_1,fuxia_flag.png,2797.5556
type_1,lila_stick.png,2721.9463
type_1,pink_purple_asterix.png,3054.3827
type_2,pink_hourglass.png,3422.4697
type_2,turquoisedark_yes.png,2669.8142
type_2,black_arrow.png,2572.8454
type_1,fuxia_flag.png,2527.2493
type_1,brown_diamond.png,2468.1906
type_1,oceanblue_splash.png,2560.9886
type_3,orange_square.png,2166.5563
type_3,pale_cross.png,2448.8026
type_3,grey_arrow.png,2752.7507
type_1,yellow_srp.png,2815.1896
type_1,brown_diamond.png,2629.6495
type_1,frog_kot.png,2603.752
type_2,pink_hourglass.png,2588.0567
type_2,burgundy_spaka.png,2609.2857
type_2,turquoise_cross.png,2541.0938
type_1,yellow_srp.png,2126.5761
type_1,lila_stick.png,2134.9521
type_1,sonce_lok.png,2419.6833
type_2,green_pentagonn.png,2454.9228
type_2,burgundy_spaka.png,2541.9869
type_2,turquoise_cross.png,2463.3057
type_3,orange_square.png,2522.3776
type_3,blue_triangle.png,2262.2113
