triplet_name,shape_name,RT
type_1,pale_cross.png,12063.3797
type_1,blue_triangle.png,5234.5466
type_1,lila_stick.png,3748.5967
type_1,pale_cross.png,3823.0062
type_1,orange_square.png,1521.139
type_1,fuxia_flag.png,1508.7901
type_3,lime_moon.png,2746.0803
type_3,yellow_srp.png,1965.5677
type_3,grey_arrow.png,7664.8172
type_2,purple_circle.png,2977.2731
type_2,pink_purple_asterix.png,2067.3318
type_2,frog_kot.png,4503.2542
type_1,green_pentagonn.png,2833.7058
type_1,blue_triangle.png,1699.8923
type_1,brown_diamond.png,1968.7234
type_2,purple_circle.png,1739.364
type_2,oceanblue_splash.png,2750.126
type_2,burgundy_spaka.png,2255.5817
type_3,lime_moon.png,2040.4596
type_3,turquoise_cross.png,2919.3152
type_3,red_heart.png,1790.8092
type_1,green_pentagonn.png,1667.1698
type_1,orange_square.png,1790.8609
type_1,sonce_lok.png,2443.8068
type_2,pink_hourglass.png,1915.5177
type_2,pink_purple_asterix.png,1546.5745
type_2,frog_kot.png,1887.5284
type_3,lime_moon.png,1412.788
type_3,turquoise_cross.png,3858.3741
type_3,black_arrow.png,2398.7116
type_3,lime_moon.png,2011.3695
type_3,yellow_srp.png,1559.1016
type_3,turquoisedark_yes.png,1716.4838
type_2,pink_hourglass.png,1459.8429
type_2,oceanblue_splash.png,1084.2934
type_2,burgundy_spaka.png,732.2813
type_3,lime_moon.png,927.7641
type_3,yellow_srp.png,404.5928
type_3,turquoisedark_yes.png,1022.3191
type_1,green_pentagonn.png,943.9534
type_1,blue_triangle.png,412.906
type_1,brown_diamond.png,987.5786
type_2,pink_hourglass.png,686.2182
type_2,oceanblue_splash.png,373.5448
type_2,burgundy_spaka.png,2046.3606
type_2,purple_circle.png,721.8824
type_2,pink_purple_asterix.png,419.8837
type_2,frog_kot.png,1419.6196
type_1,pale_cross.png,1516.1497
type_1,blue_triangle.png,509.58
type_1,lila_stick.png,853.935
type_2,purple_circle.png,901.3674
type_2,oceanblue_splash.png,496.2482
type_2,burgundy_spaka.png,1614.6711
type_1,green_pentagonn.png,829.0118
type_1,orange_square.png,881.3089
type_1,sonce_lok.png,1167.4732
type_3,lime_moon.png,761.2174
type_3,turquoise_cross.png,327.568
type_3,red_heart.png,913.8301
type_3,lime_moon.png,776.4775
type_3,yellow_srp.png,367.1837
type_3,grey_arrow.png,1062.7481
type_2,pink_hourglass.png,628.4143
type_2,pink_purple_asterix.png,421.699
type_2,frog_kot.png,768.3816
type_3,lime_moon.png,640.1543
type_3,turquoise_cross.png,332.8979
type_3,black_arrow.png,796.0693
type_1,pale_cross.png,637.4464
type_1,orange_square.png,389.7284
type_1,fuxia_flag.png,3068.9248
type_1,pale_cross.png,1912.5808
type_1,blue_triangle.png,422.6768
type_1,lila_stick.png,962.4665
type_1,pale_cross.png,814.5413
type_1,orange_square.png,354.6688
type_1,fuxia_flag.png,716.8381
type_2,purple_circle.png,974.6076
type_2,pink_purple_asterix.png,1025.1749
type_2,frog_kot.png,581.8394
type_1,green_pentagonn.png,835.28
type_1,blue_triangle.png,801.6163
type_1,brown_diamond.png,335.0304
type_3,lime_moon.png,1352.3374
type_3,turquoise_cross.png,416.8269
type_3,red_heart.png,914.6104
type_2,purple_circle.png,883.5077
type_2,oceanblue_splash.png,295.5594
type_2,burgundy_spaka.png,755.0322
type_2,pink_hourglass.png,677.9714
type_2,oceanblue_splash.png,553.914
type_2,burgundy_spaka.png,1066.2367
type_2,pink_hourglass.png,694.4963
type_2,pink_purple_asterix.png,448.6713
type_2,frog_kot.png,1287.0717
type_1,green_pentagonn.png,737.0245
type_1,orange_square.png,1418.5587
type_1,sonce_lok.png,351.0306
type_3,lime_moon.png,1091.1073
type_3,yellow_srp.png,648.8188
type_3,turquoisedark_yes.png,351.9894
type_3,lime_moon.png,676.1408
type_3,turquoise_cross.png,1040.5551
type_3,black_arrow.png,326.928
type_3,lime_moon.png,805.4261
type_3,yellow_srp.png,520.9955
type_3,grey_arrow.png,1218.2241
type_1,pale_cross.png,871.0219
type_1,orange_square.png,316.9509
type_1,fuxia_flag.png,679.784
type_3,lime_moon.png,634.8228
type_3,turquoise_cross.png,295.921
type_3,black_arrow.png,985.3063
type_1,green_pentagonn.png,664.1332
type_1,orange_square.png,366.9186
type_1,sonce_lok.png,986.3693
type_2,purple_circle.png,651.9003
type_2,pink_purple_asterix.png,321.7448
type_2,frog_kot.png,1044.5432
type_2,pink_hourglass.png,562.4571
type_2,pink_purple_asterix.png,523.8213
type_2,frog_kot.png,1784.9126
type_2,pink_hourglass.png,575.3556
type_2,oceanblue_splash.png,344.1293
type_2,burgundy_spaka.png,1090.0705
type_3,lime_moon.png,542.3252
type_3,turquoise_cross.png,342.5367
type_3,red_heart.png,774.9052
type_1,green_pentagonn.png,543.3836
type_1,blue_triangle.png,325.519
type_1,brown_diamond.png,683.5313
type_1,pale_cross.png,518.1221
type_1,blue_triangle.png,335.7045
type_1,lila_stick.png,512.7699
type_3,lime_moon.png,481.1115
type_3,yellow_srp.png,357.8915
type_3,turquoisedark_yes.png,1401.6069
type_2,purple_circle.png,515.572
type_2,oceanblue_splash.png,362.9982
type_2,burgundy_spaka.png,774.9209
type_3,lime_moon.png,655.185
type_3,yellow_srp.png,232.0614
type_3,grey_arrow.png,736.26
type_2,purple_circle.png,463.3155
type_2,oceanblue_splash.png,302.9972
type_2,burgundy_spaka.png,662.3488
type_2,pink_hourglass.png,558.857
type_2,pink_purple_asterix.png,280.5174
type_2,frog_kot.png,784.2022
type_3,lime_moon.png,651.5079
type_3,yellow_srp.png,351.0923
type_3,grey_arrow.png,775.3607
type_1,pale_cross.png,523.36
type_1,blue_triangle.png,265.7818
type_1,lila_stick.png,901.4978
type_1,green_pentagonn.png,575.8843
type_1,blue_triangle.png,297.4971
type_1,brown_diamond.png,895.1595
type_2,purple_circle.png,555.2396
type_2,pink_purple_asterix.png,202.4626
type_2,frog_kot.png,2576.0822
type_1,green_pentagonn.png,574.067
type_1,orange_square.png,1148.6562
type_1,sonce_lok.png,890.0037
type_2,pink_hourglass.png,234.3791
type_2,oceanblue_splash.png,1102.7469
type_2,burgundy_spaka.png,781.6297
type_1,pale_cross.png,611.5831
type_1,orange_square.png,214.5809
type_1,fuxia_flag.png,649.3101
type_3,lime_moon.png,735.3768
type_3,yellow_srp.png,199.4319
type_3,turquoisedark_yes.png,763.9972
type_3,lime_moon.png,1626.0809
type_3,turquoise_cross.png,289.3092
type_3,black_arrow.png,799.4775
type_3,lime_moon.png,896.9552
type_3,turquoise_cross.png,338.2913
type_3,red_heart.png,881.3079
type_1,green_pentagonn.png,520.0403
type_1,blue_triangle.png,354.2335
type_1,brown_diamond.png,972.0601
type_1,green_pentagonn.png,624.6326
type_1,orange_square.png,223.934
type_1,sonce_lok.png,818.107
type_3,lime_moon.png,578.9401
type_3,yellow_srp.png,256.3362
type_3,turquoisedark_yes.png,682.3967
type_3,lime_moon.png,523.6653
type_3,turquoise_cross.png,225.6227
type_3,red_heart.png,803.5367
type_1,pale_cross.png,596.0089
type_1,orange_square.png,201.0594
type_1,fuxia_flag.png,634.4044
type_2,purple_circle.png,451.1826
type_2,pink_purple_asterix.png,268.1421
type_2,frog_kot.png,846.8622
type_2,pink_hourglass.png,462.5658
type_2,pink_purple_asterix.png,202.4674
type_2,frog_kot.png,662.4805
type_3,lime_moon.png,445.466
type_3,turquoise_cross.png,193.3974
type_3,black_arrow.png,849.1221
type_2,pink_hourglass.png,483.8752
type_2,oceanblue_splash.png,177.1928
type_2,burgundy_spaka.png,1143.8909
type_3,lime_moon.png,374.5158
type_3,yellow_srp.png,175.2445
type_3,grey_arrow.png,709.3026
type_2,purple_circle.png,604.757
type_2,oceanblue_splash.png,141.647
type_2,burgundy_spaka.png,2863.1232
type_1,pale_cross.png,436.2474
type_1,blue_triangle.png,201.5263
type_1,lila_stick.png,431.8893
type_1,green_pentagonn.png,464.3086
type_1,blue_triangle.png,164.9772
type_1,brown_diamond.png,1606.0818
type_3,lime_moon.png,440.3727
type_3,yellow_srp.png,197.2282
type_3,grey_arrow.png,747.0547
type_2,purple_circle.png,425.2446
type_2,pink_purple_asterix.png,174.7644
type_2,frog_kot.png,1097.4576
type_3,lime_moon.png,375.8544
type_3,turquoise_cross.png,154.2111
type_3,red_heart.png,861.4116
type_2,pink_hourglass.png,691.1742
type_2,pink_purple_asterix.png,181.4343
type_2,frog_kot.png,547.182
type_3,lime_moon.png,482.754
type_3,yellow_srp.png,171.5672
type_3,turquoisedark_yes.png,741.6548
type_1,pale_cross.png,436.5051
type_1,blue_triangle.png,155.7982
type_1,lila_stick.png,521.7487
type_1,pale_cross.png,467.7424
type_1,orange_square.png,177.0357
type_1,fuxia_flag.png,513.3952
type_3,lime_moon.png,916.8971
type_3,turquoise_cross.png,167.3062
type_3,black_arrow.png,946.0326
type_2,pink_hourglass.png,398.114
type_2,oceanblue_splash.png,146.8798
type_2,burgundy_spaka.png,721.7625
type_2,purple_circle.png,382.6865
type_2,oceanblue_splash.png,151.4254
type_2,burgundy_spaka.png,1630.9508
