triplet_name,shape_name,RT
type_3,oceanblue_splash.png,2832.7982
type_3,turquoisedark_yes.png,2562.1517
type_3,purple_circle.png,3951.1372
type_2,yellow_srp.png,3005.1004
type_2,fuxia_flag.png,3020.9333
type_2,grey_arrow.png,4206.1133
type_3,oceanblue_splash.png,1775.4844
type_3,lila_stick.png,4909.3637
type_3,pink_purple_asterix.png,2373.2426
type_3,oceanblue_splash.png,3458.8168
type_3,turquoisedark_yes.png,2034.8264
type_3,lime_moon.png,1465.7372
type_1,black_arrow.png,3227.7689
type_1,red_heart.png,2381.6528
type_1,pink_hourglass.png,4338.8756
type_2,yellow_srp.png,2083.499
type_2,green_pentagonn.png,1905.4514
type_2,burgundy_spaka.png,2860.1044
type_3,oceanblue_splash.png,2607.2927
type_3,lila_stick.png,3398.3131
type_3,frog_kot.png,3285.7604
type_1,black_arrow.png,2053.0785
type_1,pale_cross.png,3407.7991
type_1,brown_diamond.png,2619.6237
type_1,sonce_lok.png,2196.2674
type_1,pale_cross.png,3945.1485
type_1,orange_square.png,2083.957
type_2,blue_triangle.png,2341.1683
type_2,green_pentagonn.png,2001.0086
type_2,burgundy_spaka.png,2259.3147
type_2,blue_triangle.png,2178.2213
type_2,fuxia_flag.png,2587.8866
type_2,grey_arrow.png,3674.6128
type_1,sonce_lok.png,2592.2308
type_1,red_heart.png,2450.1865
type_1,turquoise_cross.png,3685.4196
type_1,black_arrow.png,2500.5255
type_1,red_heart.png,4746.5495
type_1,pink_hourglass.png,3564.8914
type_1,sonce_lok.png,2415.1456
type_1,red_heart.png,2232.5164
type_1,turquoise_cross.png,3474.5246
type_3,oceanblue_splash.png,1580.4529
type_3,turquoisedark_yes.png,1101.2938
type_3,lime_moon.png,1773.8123
type_2,yellow_srp.png,4993.0741
type_2,green_pentagonn.png,1821.0754
type_2,burgundy_spaka.png,2719.6926
type_3,oceanblue_splash.png,1386.0224
type_3,lila_stick.png,2981.4421
type_3,frog_kot.png,2719.7727
type_2,yellow_srp.png,4161.687
type_2,fuxia_flag.png,1674.6424
type_2,grey_arrow.png,4317.9684
type_3,oceanblue_splash.png,1573.3142
type_3,lila_stick.png,1639.0199
type_3,pink_purple_asterix.png,1641.3821
type_1,black_arrow.png,1328.1307
type_1,pale_cross.png,2711.1961
type_1,brown_diamond.png,2292.1005
type_2,blue_triangle.png,2764.4451
type_2,green_pentagonn.png,3069.53
type_2,burgundy_spaka.png,3637.9738
type_3,oceanblue_splash.png,1213.5404
type_3,turquoisedark_yes.png,966.4004
type_3,purple_circle.png,2163.7208
type_2,blue_triangle.png,2636.978
type_2,fuxia_flag.png,2156.548
type_2,grey_arrow.png,1806.882
type_1,sonce_lok.png,2658.0451
type_1,pale_cross.png,4164.8514
type_1,orange_square.png,2627.1222
type_1,sonce_lok.png,3347.0829
type_1,pale_cross.png,3248.4716
type_1,orange_square.png,2158.3595
type_2,yellow_srp.png,5584.1048
type_2,fuxia_flag.png,2589.9381
type_2,grey_arrow.png,1778.7285
type_1,black_arrow.png,1201.1724
type_1,pale_cross.png,4257.6666
type_1,brown_diamond.png,2138.444
type_3,oceanblue_splash.png,1328.7461
type_3,lila_stick.png,1156.343
type_3,frog_kot.png,4600.3318
type_3,oceanblue_splash.png,1172.9247
type_3,lila_stick.png,1331.95
type_3,pink_purple_asterix.png,5007.1766
type_2,blue_triangle.png,3241.9568
type_2,green_pentagonn.png,2609.6067
type_2,burgundy_spaka.png,2650.0778
type_1,black_arrow.png,1944.6559
type_1,red_heart.png,1884.6589
type_1,pink_hourglass.png,3589.3146
type_1,sonce_lok.png,2520.6567
type_1,red_heart.png,1742.8219
type_1,turquoise_cross.png,2301.3597
type_3,oceanblue_splash.png,1888.6079
type_3,turquoisedark_yes.png,1197.462
type_3,purple_circle.png,5275.0772
type_2,yellow_srp.png,4305.4431
type_2,green_pentagonn.png,1619.5543
type_2,burgundy_spaka.png,2880.8197
type_3,oceanblue_splash.png,1241.3275
type_3,turquoisedark_yes.png,2802.1392
type_3,lime_moon.png,2083.5315
type_2,blue_triangle.png,1755.5296
type_2,fuxia_flag.png,1725.4165
type_2,grey_arrow.png,1911.9023
type_3,oceanblue_splash.png,1096.3001
type_3,lila_stick.png,1386.4679
type_3,pink_purple_asterix.png,1989.5382
type_1,black_arrow.png,1443.4205
type_1,red_heart.png,1421.5714
type_1,pink_hourglass.png,1797.3649
type_2,yellow_srp.png,2288.8234
type_2,fuxia_flag.png,1901.9464
type_2,grey_arrow.png,3048.7772
type_1,black_arrow.png,1896.4964
type_1,pale_cross.png,2551.098
type_1,brown_diamond.png,4850.7689
type_2,blue_triangle.png,2592.6309
type_2,green_pentagonn.png,1589.3625
type_2,burgundy_spaka.png,2953.0752
type_2,yellow_srp.png,2520.0694
type_2,green_pentagonn.png,1997.8294
type_2,burgundy_spaka.png,1659.4668
type_1,sonce_lok.png,2385.8131
type_1,red_heart.png,1452.9374
type_1,turquoise_cross.png,2702.9119
type_3,oceanblue_splash.png,1103.2405
type_3,turquoisedark_yes.png,823.7096001
type_3,purple_circle.png,5098.0898
type_2,blue_triangle.png,1161.3153
type_2,fuxia_flag.png,2123.6534
type_2,grey_arrow.png,2638.9385
type_1,sonce_lok.png,1830.081
type_1,pale_cross.png,1136.3072
type_1,orange_square.png,3297.8281
type_3,oceanblue_splash.png,1056.9474
type_3,lila_stick.png,2350.221
type_3,frog_kot.png,3324.0729
type_3,oceanblue_splash.png,1035.5818
type_3,turquoisedark_yes.png,1121.0376
type_3,lime_moon.png,1370.8601
type_3,oceanblue_splash.png,1099.9249
type_3,lila_stick.png,2623.2679
type_3,pink_purple_asterix.png,2860.8483
type_1,sonce_lok.png,2239.0255
type_1,pale_cross.png,1208.4297
type_1,orange_square.png,3294.1052
type_1,black_arrow.png,1628.504
type_1,pale_cross.png,2187.2586
type_1,brown_diamond.png,3847.808
type_2,blue_triangle.png,1370.0252
type_2,fuxia_flag.png,1393.7705
type_2,grey_arrow.png,2650.3172
type_1,black_arrow.png,1219.1064
type_1,red_heart.png,1783.8189
type_1,pink_hourglass.png,3613.1265
type_3,oceanblue_splash.png,2131.1418
type_3,turquoisedark_yes.png,2125.8068
type_3,lime_moon.png,1441.9808
type_3,oceanblue_splash.png,1148.5117
type_3,turquoisedark_yes.png,1362.1975
type_3,purple_circle.png,2431.6259
type_2,yellow_srp.png,1451.6687
type_2,fuxia_flag.png,2122.2342
type_2,grey_arrow.png,4569.4942
type_1,sonce_lok.png,1760.5876
type_1,red_heart.png,1936.7559
type_1,turquoise_cross.png,2105.9749
type_2,blue_triangle.png,2796.0667
type_2,green_pentagonn.png,1071.8574
type_2,burgundy_spaka.png,3375.5176
type_2,yellow_srp.png,1526.5857
type_2,green_pentagonn.png,1594.1158
type_2,burgundy_spaka.png,1079.7481
type_3,oceanblue_splash.png,817.4302999
type_3,lila_stick.png,958.8526001
type_3,frog_kot.png,1093.6733
type_1,sonce_lok.png,1654.2403
type_1,pale_cross.png,1382.6646
type_1,orange_square.png,1374.505
type_3,oceanblue_splash.png,782.5606
type_3,turquoisedark_yes.png,611.1117001
type_3,purple_circle.png,1112.2806
type_1,sonce_lok.png,2124.2613
type_1,red_heart.png,1607.643
type_1,turquoise_cross.png,2968.9251
type_2,blue_triangle.png,1653.8151
type_2,fuxia_flag.png,1456.195
type_2,grey_arrow.png,1512.7591
type_2,yellow_srp.png,1531.1803
type_2,green_pentagonn.png,1420.4154
type_2,burgundy_spaka.png,5182.6455
type_3,oceanblue_splash.png,947.3528999
type_3,lila_stick.png,838.1528
type_3,frog_kot.png,798.6403001
type_1,black_arrow.png,1498.8212
type_1,pale_cross.png,1600.2021
type_1,brown_diamond.png,1451.3252
type_3,oceanblue_splash.png,804.4181
type_3,lila_stick.png,935.6442001
type_3,pink_purple_asterix.png,1226.0365
type_1,black_arrow.png,1280.7058
type_1,red_heart.png,1787.6649
type_1,pink_hourglass.png,2737.7759
type_3,oceanblue_splash.png,2587.9424
type_3,turquoisedark_yes.png,581.7495
type_3,lime_moon.png,1499.3933
type_2,blue_triangle.png,1484.3458
type_2,green_pentagonn.png,2045.4072
type_2,burgundy_spaka.png,1989.9479
type_2,yellow_srp.png,2063.9578
type_2,fuxia_flag.png,1458.429
type_2,grey_arrow.png,1091.6358
type_2,yellow_srp.png,1279.4768
type_2,green_pentagonn.png,1084.7632
type_2,burgundy_spaka.png,1452.7549
type_2,blue_triangle.png,1248.0062
