triplet_name,shape_name,RT
type_3,red_heart.png,3372.7705
type_3,grey_arrow.png,2247.3795
type_3,sonce_lok.png,2483.8055
type_1,orange_square.png,3247.4367
type_1,lime_moon.png,2091.145
type_1,turquoisedark_yes.png,2650.5016
type_2,blue_triangle.png,2456.114
type_2,pale_cross.png,2154.7511
type_2,green_pentagonn.png,3059.8807
type_3,red_heart.png,1525.815
type_3,frog_kot.png,3525.0096
type_3,brown_diamond.png,2102.7767
type_1,fuxia_flag.png,3275.2974
type_1,lime_moon.png,1979.529
type_1,lila_stick.png,2891.8245
type_2,yellow_srp.png,2093.7732
type_2,pale_cross.png,2076.9135
type_2,green_pentagonn.png,2978.9877
type_2,yellow_srp.png,3194.329
type_2,oceanblue_splash.png,2054.2122
type_2,black_arrow.png,4864.4961
type_3,red_heart.png,3945.4941
type_3,grey_arrow.png,3907.2312
type_3,pink_hourglass.png,5181.1122
type_3,red_heart.png,1882.1822
type_3,frog_kot.png,114.082
type_3,turquoise_cross.png,4985.7699
type_1,fuxia_flag.png,4351.2705
type_1,pink_purple_asterix.png,2038.1967
type_1,burgundy_spaka.png,4796.508
type_1,orange_square.png,2744.9518
type_1,pink_purple_asterix.png,2673.2483
type_1,purple_circle.png,2896.5685
type_2,blue_triangle.png,2634.8124
type_2,oceanblue_splash.png,2457.6718
type_2,black_arrow.png,5200.4459
type_3,red_heart.png,2222.8975
type_3,frog_kot.png,3374.4148
type_3,brown_diamond.png,2247.5176
type_1,orange_square.png,2678.5542
type_1,pink_purple_asterix.png,3415.2102
type_1,purple_circle.png,3421.8415
type_3,red_heart.png,2802.8646
type_3,grey_arrow.png,6054.2884
type_3,sonce_lok.png,2181.7137
type_3,red_heart.png,2690.6923
type_3,grey_arrow.png,1675.5496
type_3,pink_hourglass.png,4217.9925
type_2,blue_triangle.png,4502.8689
type_2,oceanblue_splash.png,182.0665
type_2,black_arrow.png,7482.7617
type_1,orange_square.png,1574.6282
type_1,lime_moon.png,1932.4077
type_1,turquoisedark_yes.png,2422.4921
type_2,blue_triangle.png,2253.209
type_2,pale_cross.png,2211.5059
type_2,green_pentagonn.png,4350.5462
type_2,yellow_srp.png,2688.3765
type_2,oceanblue_splash.png,2068.0614
type_2,black_arrow.png,2627.1393
type_3,red_heart.png,1999.0199
type_3,frog_kot.png,2131.6638
type_3,turquoise_cross.png,2138.8874
type_1,fuxia_flag.png,1902.7003
type_1,lime_moon.png,2217.6476
type_1,lila_stick.png,6293.3788
type_2,yellow_srp.png,3796.3392
type_2,pale_cross.png,2447.3544
type_2,green_pentagonn.png,3044.3871
type_1,fuxia_flag.png,364.0712
type_1,pink_purple_asterix.png,3422.7249
type_1,burgundy_spaka.png,3467.3124
type_1,fuxia_flag.png,1781.9277
type_1,pink_purple_asterix.png,1565.0699
type_1,burgundy_spaka.png,1838.6289
type_3,red_heart.png,1767.9129
type_3,frog_kot.png,2118.8553
type_3,brown_diamond.png,7503.8472
type_2,yellow_srp.png,1867.2409
type_2,pale_cross.png,1394.4774
type_2,green_pentagonn.png,2014.2695
type_3,red_heart.png,1714.7077
type_3,grey_arrow.png,2608.694
type_3,pink_hourglass.png,2168.2791
type_2,yellow_srp.png,1582.9487
type_2,oceanblue_splash.png,2368.8202
type_2,black_arrow.png,7746.0805
type_2,blue_triangle.png,3901.5156
type_2,pale_cross.png,1708.0224
type_2,green_pentagonn.png,5026.6971
type_3,red_heart.png,3039.447
type_3,grey_arrow.png,2606.9209
type_3,sonce_lok.png,2794.4398
type_1,fuxia_flag.png,1994.2204
type_1,lime_moon.png,2234.1191
type_1,lila_stick.png,2572.0549
type_3,red_heart.png,2443.1597
type_3,frog_kot.png,2278.6653
type_3,turquoise_cross.png,1720.5652
type_2,blue_triangle.png,1822.1204
type_2,oceanblue_splash.png,3309.2519
type_2,black_arrow.png,1549.2103
type_1,orange_square.png,3535.445
type_1,pink_purple_asterix.png,1856.5042
type_1,purple_circle.png,2310.921
type_1,orange_square.png,1968.362
type_1,lime_moon.png,2269.324
type_1,turquoisedark_yes.png,2011.4309
type_2,yellow_srp.png,2363.9239
type_2,oceanblue_splash.png,1921.9416
type_2,black_arrow.png,1224.4347
type_3,red_heart.png,1747.3751
type_3,grey_arrow.png,1016.7413
type_3,pink_hourglass.png,1598.134
