triplet_name,shape_name,RT
type_1,pink_purple_asterix.png,1576.5782
type_1,brown_diamond.png,3426.0173
type_1,lila_stick.png,2306.609
type_3,yellow_srp.png,1533.3766
type_3,burgundy_spaka.png,1205.5249
type_3,black_arrow.png,1306.8432
type_3,yellow_srp.png,1105.9442
type_3,turquoise_cross.png,1280.7195
type_3,turquoisedark_yes.png,1486.2206
type_2,red_heart.png,1465.8786
type_2,grey_arrow.png,1600.1251
type_2,pink_hourglass.png,1190.1026
type_2,red_heart.png,1821.461
type_2,pale_cross.png,1426.6621
type_2,sonce_lok.png,1268.9917
type_3,yellow_srp.png,1219.0401
type_3,turquoise_cross.png,1195.9456
type_3,oceanblue_splash.png,1133.3513
type_2,blue_triangle.png,1117.4486
type_2,grey_arrow.png,1251.0117
type_2,pink_hourglass.png,1132.6373
type_2,blue_triangle.png,1070.821
type_2,pale_cross.png,1115.0922
type_2,sonce_lok.png,1075.4632
type_3,yellow_srp.png,971.9369
type_3,burgundy_spaka.png,994.0678
type_3,purple_circle.png,1040.5517
type_1,frog_kot.png,964.8694
type_1,fuxia_flag.png,1006.6923
type_1,lime_moon.png,1188.085
type_1,pink_purple_asterix.png,873.7657
type_1,fuxia_flag.png,827.8128
type_1,green_pentagonn.png,769.1747
type_1,frog_kot.png,851.4953
type_1,brown_diamond.png,811.7764
type_1,orange_square.png,831.4808
type_2,red_heart.png,871.4749
type_2,grey_arrow.png,747.085
type_2,pink_hourglass.png,824.7312999
type_3,yellow_srp.png,817.4336
type_3,turquoise_cross.png,790.1765
type_3,turquoisedark_yes.png,812.2023
type_2,blue_triangle.png,868.5813
type_2,grey_arrow.png,847.5566
type_2,pink_hourglass.png,882.8280999
type_1,pink_purple_asterix.png,802.795
type_1,fuxia_flag.png,756.615
type_1,green_pentagonn.png,759.0553
type_3,yellow_srp.png,3044.6793
type_3,burgundy_spaka.png,1103.5979
type_3,purple_circle.png,1443.0909
type_1,frog_kot.png,1304.195
type_1,brown_diamond.png,1392.4782
type_1,orange_square.png,1688.3414
type_2,red_heart.png,1663.1184
type_2,pale_cross.png,1486.2168
type_2,sonce_lok.png,2371.2303
type_3,yellow_srp.png,1726.7101
type_3,burgundy_spaka.png,2638.4563
type_3,black_arrow.png,2252.8309
type_2,blue_triangle.png,2089.2646
type_2,pale_cross.png,1621.6515
type_2,sonce_lok.png,1888.373
type_1,pink_purple_asterix.png,926.4424
type_1,brown_diamond.png,1240.4853
type_1,lila_stick.png,983.4617
type_1,frog_kot.png,1766.9556
type_1,fuxia_flag.png,1782.5419
type_1,lime_moon.png,923.4581
type_3,yellow_srp.png,1361.4526
