triplet_name,shape_name,RT
type_2,pink_hourglass.png,2432.6874
type_2,sonce_lok.png,2362.9128
type_2,black_arrow.png,2736.0936
type_1,lila_stick.png,3381.4492
type_1,orange_square.png,2673.3823
type_1,brown_diamond.png,2369.0162
type_2,purple_circle.png,1906.0061
type_2,sonce_lok.png,2309.423
type_2,black_arrow.png,1624.9477
type_2,pink_hourglass.png,4021.0933
type_2,frog_kot.png,1759.5994
type_2,oceanblue_splash.png,1752.6993
type_3,blue_triangle.png,1472.9723
type_3,turquoise_cross.png,1579.9099
type_3,green_pentagonn.png,2428.8926
type_3,blue_triangle.png,1486.5204
type_3,turquoise_cross.png,1947.0633
type_3,pink_purple_asterix.png,2001.1313
type_2,purple_circle.png,1623.1781
type_2,frog_kot.png,1855.0525
type_2,oceanblue_splash.png,1774.5607
type_1,pale_cross.png,1819.6081
type_1,orange_square.png,3135.7375
type_1,red_heart.png,2317.298
type_1,pale_cross.png,1871.3974
type_1,lime_moon.png,1837.9075
type_1,fuxia_flag.png,1919.5365
type_3,blue_triangle.png,1742.941
type_3,grey_arrow.png,1708.5668
type_3,yellow_srp.png,1989.1278
type_3,blue_triangle.png,1803.1299
type_3,grey_arrow.png,1708.0495
type_3,turquoisedark_yes.png,1806.2829
type_1,lila_stick.png,1781.6715
type_1,lime_moon.png,1663.1409
type_1,burgundy_spaka.png,1684.0306
type_3,blue_triangle.png,1625.3695
type_3,turquoise_cross.png,3560.6522
type_3,pink_purple_asterix.png,1617.4503
type_2,pink_hourglass.png,3563.7389
type_2,sonce_lok.png,1580.0346
type_2,black_arrow.png,1546.8349
type_2,purple_circle.png,1794.3726
type_2,sonce_lok.png,1526.7223
type_2,black_arrow.png,1830.617
type_2,purple_circle.png,1581.7088
type_2,frog_kot.png,2214.8423
type_2,oceanblue_splash.png,1638.4485
type_3,blue_triangle.png,1671.1658
type_3,turquoise_cross.png,1945.767
type_3,green_pentagonn.png,1672.8475
type_3,blue_triangle.png,1949.8873
type_3,grey_arrow.png,1837.9192
type_3,turquoisedark_yes.png,3830.3225
type_1,lila_stick.png,2054.1274
type_1,lime_moon.png,1754.0306
type_1,burgundy_spaka.png,1714.8604
type_1,lila_stick.png,1669.8283
type_1,orange_square.png,1816.8795
type_1,brown_diamond.png,3533.9127
type_1,pale_cross.png,1671.3788
type_1,orange_square.png,2135.4494
type_1,red_heart.png,1750.1268
type_1,pale_cross.png,1874.9945
type_1,lime_moon.png,1791.0595
type_1,fuxia_flag.png,1779.9596
type_3,blue_triangle.png,1754.0157
type_3,grey_arrow.png,1646.5924
type_3,yellow_srp.png,1672.9747
type_2,pink_hourglass.png,1526.0746
type_2,frog_kot.png,1590.3653
type_2,oceanblue_splash.png,1699.6305
type_2,purple_circle.png,1636.5843
type_2,frog_kot.png,1487.2332
type_2,oceanblue_splash.png,2140.4052
