triplet_name,shape_name,RT
type_3,sonce_lok.png,2393.2326
type_3,brown_diamond.png,2024.8838
type_3,grey_arrow.png,1437.0884
type_1,purple_circle.png,1584.4951
type_1,orange_square.png,1443.5698
type_1,pink_purple_asterix.png,1292.0388
type_2,green_pentagonn.png,2696.5626
type_2,blue_triangle.png,2801.511
type_2,yellow_srp.png,3179.379
type_2,frog_kot.png,2373.7611
type_2,blue_triangle.png,1447.7713
type_2,yellow_srp.png,2357.6888
type_2,frog_kot.png,2238.0449
type_2,pale_cross.png,1358.2059
type_2,turquoisedark_yes.png,1395.8521
type_1,turquoise_cross.png,2004.3075
type_1,fuxia_flag.png,3313.2318
type_1,lila_stick.png,2438.4451
type_1,purple_circle.png,2889.5489
type_1,fuxia_flag.png,2102.7238
type_1,red_heart.png,1593.9168
type_1,turquoise_cross.png,1694.0369
type_1,orange_square.png,2109.8224
type_1,oceanblue_splash.png,2341.8338
type_3,sonce_lok.png,3206.2074
type_3,burgundy_spaka.png,1319.7015
type_3,black_arrow.png,5974.9062
type_3,sonce_lok.png,1230.5275
type_3,brown_diamond.png,1882.9403
type_3,lime_moon.png,2417.4731
type_3,sonce_lok.png,1299.9247
type_3,burgundy_spaka.png,1049.6347
type_3,pink_hourglass.png,2122.014
type_2,green_pentagonn.png,1243.849
type_2,pale_cross.png,1911.1479
type_2,turquoisedark_yes.png,1692.9919
type_2,green_pentagonn.png,4838.1114
type_2,blue_triangle.png,1787.3723
type_2,yellow_srp.png,3944.0052
type_2,frog_kot.png,1105.4139
type_2,blue_triangle.png,1787.2887
type_2,yellow_srp.png,2020.5411
type_2,green_pentagonn.png,1191.5855
type_2,pale_cross.png,2942.6895
type_2,turquoisedark_yes.png,1335.9856
type_3,sonce_lok.png,992.1617
type_3,burgundy_spaka.png,1063.4986
type_3,pink_hourglass.png,1334.4855
type_1,turquoise_cross.png,1199.8355
type_1,orange_square.png,2383.8688
type_1,oceanblue_splash.png,1221.4672
type_3,sonce_lok.png,1629.2344
type_3,brown_diamond.png,3167.6671
type_3,grey_arrow.png,1749.6101
type_3,sonce_lok.png,1982.1917
type_3,brown_diamond.png,1499.45
type_3,lime_moon.png,861.8310001
type_2,frog_kot.png,1057.1816
type_2,pale_cross.png,1468.0035
type_2,turquoisedark_yes.png,1215.9087
type_1,purple_circle.png,948.7184
type_1,orange_square.png,1498.269
type_1,pink_purple_asterix.png,1320.9379
type_1,turquoise_cross.png,1818.4855
type_1,fuxia_flag.png,1300.2207
type_1,lila_stick.png,1431.5718
type_1,purple_circle.png,1559.0564
