triplet_name,shape_name,RT
type_1,burgundy_spaka.png,6862.1004
type_1,orange_square.png,2196.3566
type_1,grey_arrow.png,2150.4574
type_1,lila_stick.png,4190.7804
type_1,orange_square.png,1920.1366
type_1,blue_triangle.png,1636.13
type_2,oceanblue_splash.png,2227.3679
type_2,turquoisedark_yes.png,1889.3394
type_2,green_pentagonn.png,2529.5555
type_3,red_heart.png,3000.8047
type_3,purple_circle.png,2241.6154
type_3,pink_hourglass.png,2080.7488
type_2,black_arrow.png,2494.1271
type_2,lime_moon.png,1894.869
type_2,frog_kot.png,2081.7338
type_3,red_heart.png,1711.1189
type_3,fuxia_flag.png,1996.7466
type_3,pink_purple_asterix.png,2133.9292
type_3,red_heart.png,1743.8852
type_3,fuxia_flag.png,1862.9276
type_3,brown_diamond.png,1675.6968
type_3,red_heart.png,1903.2639
type_3,purple_circle.png,1732.5273
type_3,yellow_srp.png,1621.2161
type_1,lila_stick.png,3349.8416
type_1,sonce_lok.png,1392.2717
type_1,pale_cross.png,2022.4561
type_1,burgundy_spaka.png,1765.7718
type_1,sonce_lok.png,2094.0679
type_1,turquoise_cross.png,1619.8087
type_2,oceanblue_splash.png,2148.9439
type_2,lime_moon.png,1783.0691
type_2,frog_kot.png,2108.194
type_2,black_arrow.png,1949.0156
type_2,turquoisedark_yes.png,1619.9057
type_2,green_pentagonn.png,1665.4653
type_2,black_arrow.png,3001.2804
type_2,lime_moon.png,3300.653
type_2,frog_kot.png,2306.6053
type_3,red_heart.png,4284.9634
type_3,fuxia_flag.png,2744.8202
type_3,pink_purple_asterix.png,2126.4604
type_3,red_heart.png,1635.0216
type_3,purple_circle.png,1518.9878
type_3,yellow_srp.png,1328.7473
type_1,burgundy_spaka.png,1209.7316
type_1,orange_square.png,1202.0358
type_1,grey_arrow.png,1243.6254
type_2,oceanblue_splash.png,2079.8708
type_2,turquoisedark_yes.png,1404.4943
type_2,green_pentagonn.png,6267.0607
type_1,burgundy_spaka.png,4985.5834
type_1,sonce_lok.png,1968.9348
type_1,turquoise_cross.png,1431.4825
type_2,oceanblue_splash.png,1213.9024
type_2,lime_moon.png,1422.8545
type_2,frog_kot.png,1244.6736
type_1,lila_stick.png,2239.9632
type_1,sonce_lok.png,3312.1176
type_1,pale_cross.png,1411.9452
type_1,lila_stick.png,1446.5589
type_1,orange_square.png,1309.7069
type_1,blue_triangle.png,1547.5144
type_3,red_heart.png,1316.6303
type_3,fuxia_flag.png,1359.9116
type_3,brown_diamond.png,1145.7686
type_2,black_arrow.png,2547.055
type_2,turquoisedark_yes.png,1098.4404
type_2,green_pentagonn.png,1590.5928
type_3,red_heart.png,1182.5316
type_3,purple_circle.png,1310.0538
type_3,pink_hourglass.png,1339.9923
type_2,oceanblue_splash.png,1672.5018
type_2,lime_moon.png,1841.8128
type_2,frog_kot.png,1220.1667
type_2,black_arrow.png,1166.7618
type_2,turquoisedark_yes.png,988.8171998
type_2,green_pentagonn.png,2229.5922
type_1,burgundy_spaka.png,1131.1513
type_1,sonce_lok.png,2334.8226
type_1,turquoise_cross.png,1650.5943
type_3,red_heart.png,3765.5422
type_3,fuxia_flag.png,952.0956001
type_3,pink_purple_asterix.png,1362.5471
type_1,lila_stick.png,1913.8297
type_1,sonce_lok.png,1243.6138
type_1,pale_cross.png,1163.9988
type_1,lila_stick.png,1050.8793
type_1,orange_square.png,872.2814999
type_1,blue_triangle.png,1150.3146
type_2,black_arrow.png,1959.5856
type_2,lime_moon.png,1663.27
type_2,frog_kot.png,1689.6228
type_2,oceanblue_splash.png,1005.0392
type_2,turquoisedark_yes.png,2948.5875
type_2,green_pentagonn.png,1435.6235
type_3,red_heart.png,5578.1173
type_3,purple_circle.png,1695.1618
type_3,pink_hourglass.png,1891.4242
type_1,burgundy_spaka.png,2367.6783
type_1,orange_square.png,1630.3636
type_1,grey_arrow.png,4585.6272
type_3,red_heart.png,7040.1739
type_3,purple_circle.png,2544.0884
type_3,yellow_srp.png,1202.1976
type_3,red_heart.png,1242.7815
type_3,fuxia_flag.png,1591.8492
type_3,brown_diamond.png,836.1440999
type_3,red_heart.png,1139.9931
type_3,fuxia_flag.png,1191.7213
type_3,brown_diamond.png,1030.7443
type_2,oceanblue_splash.png,1020.8995
type_2,lime_moon.png,1375.8597
type_2,frog_kot.png,936.9021
type_2,black_arrow.png,1396.1044
type_2,lime_moon.png,1881.2437
type_2,frog_kot.png,1950.6327
type_2,black_arrow.png,3678.7575
type_2,turquoisedark_yes.png,1368.2827
type_2,green_pentagonn.png,1588.9452
type_3,red_heart.png,1427.8109
type_3,purple_circle.png,1255.8723
type_3,yellow_srp.png,1596.598
type_1,burgundy_spaka.png,1377.5958
type_1,sonce_lok.png,1251.0768
type_1,turquoise_cross.png,1399.8446
type_1,burgundy_spaka.png,2965.0718
type_1,orange_square.png,1471.1857
type_1,grey_arrow.png,1324.6834
type_3,red_heart.png,1943.7864
type_3,purple_circle.png,1743.6363
type_3,pink_hourglass.png,1449.1487
type_1,lila_stick.png,1310.5148
type_1,sonce_lok.png,1649.7495
type_1,pale_cross.png,1586.3426
type_1,lila_stick.png,1578.9634
type_1,orange_square.png,1145.9601
type_1,blue_triangle.png,1166.4887
type_2,oceanblue_splash.png,935.5689001
