triplet_name,shape_name,RT
type_1,brown_diamond.png,1285.3784
type_1,pink_hourglass.png,1461.2045
type_1,pink_purple_asterix.png,1736.3253
type_1,brown_diamond.png,1307.4058
type_1,orange_square.png,1522.4503
type_1,burgundy_spaka.png,1461.6696
type_3,lime_moon.png,1636.3867
type_3,yellow_srp.png,1693.6321
type_3,fuxia_flag.png,1794.4666
type_2,black_arrow.png,1426.5702
type_2,pale_cross.png,1444.4989
type_2,frog_kot.png,1429.1595
type_2,black_arrow.png,1383.278
type_2,red_heart.png,1341.4583
type_2,turquoisedark_yes.png,1427.1137
type_3,lime_moon.png,1607.3862
type_3,yellow_srp.png,1440.4809
type_3,turquoise_cross.png,1622.2072
type_1,blue_triangle.png,1715.2188
type_1,orange_square.png,1769.0816
type_1,purple_circle.png,1422.2136
type_3,lime_moon.png,1651.5133
type_3,green_pentagonn.png,1851.1362
type_3,lila_stick.png,1575.2844
type_3,lime_moon.png,1886.6725
type_3,green_pentagonn.png,1388.4717
type_3,oceanblue_splash.png,1617.4626
type_2,sonce_lok.png,1372.4713
type_2,pale_cross.png,1645.5034
type_2,frog_kot.png,1582.4327
type_2,sonce_lok.png,1487.3674
type_2,red_heart.png,1485.5524
type_2,turquoisedark_yes.png,1217.7526
type_1,blue_triangle.png,1312.7669
type_1,pink_hourglass.png,1388.2655
type_1,grey_arrow.png,1228.2689
type_2,sonce_lok.png,1187.8196
type_2,red_heart.png,1628.0771
type_2,turquoisedark_yes.png,1245.9206
type_1,blue_triangle.png,1110.9281
type_1,orange_square.png,1186.419
type_1,purple_circle.png,1258.6005
type_1,brown_diamond.png,1224.7033
type_1,pink_hourglass.png,1342.9096
type_1,pink_purple_asterix.png,1563.752
type_1,blue_triangle.png,1124.7488
type_1,pink_hourglass.png,1239.796
type_1,grey_arrow.png,1129.5854
type_3,lime_moon.png,1435.5567
type_3,yellow_srp.png,1313.8774
type_3,fuxia_flag.png,1152.607
type_1,brown_diamond.png,1317.996
type_1,orange_square.png,1176.9299
type_1,burgundy_spaka.png,1191.3305
type_3,lime_moon.png,1086.7981
type_3,green_pentagonn.png,1225.3425
type_3,oceanblue_splash.png,1224.0855
type_2,black_arrow.png,1325.6882
type_2,red_heart.png,1242.178
type_2,turquoisedark_yes.png,1312.073
type_2,sonce_lok.png,1335.4808
type_2,pale_cross.png,1174.1809
type_2,frog_kot.png,1162.6186
type_3,lime_moon.png,1162.2718
type_3,green_pentagonn.png,1524.4252
