triplet_name,shape_name,RT
type_2,fuxia_flag.png,2067.0461
type_2,red_heart.png,1259.6659
type_2,pale_cross.png,2199.047
type_3,sonce_lok.png,2922.8376
type_3,turquoise_cross.png,3225.5227
type_3,frog_kot.png,2442.0209
type_2,black_arrow.png,3929.8663
type_2,red_heart.png,1567.6089
type_2,pale_cross.png,1612.3051
type_2,fuxia_flag.png,1585.5608
type_2,brown_diamond.png,2318.5094
type_2,blue_triangle.png,1293.9553
type_3,sonce_lok.png,859.3308
type_3,turquoise_cross.png,2232.0263
type_3,purple_circle.png,1144.3351
type_1,burgundy_spaka.png,1202.6027
type_1,green_pentagonn.png,983.7291
type_1,turquoisedark_yes.png,629.4649
type_1,pink_purple_asterix.png,2737.2054
type_1,lime_moon.png,1962.2236
type_1,orange_square.png,3386.6491
type_1,burgundy_spaka.png,1470.6245
type_1,lime_moon.png,4412.1681
type_1,grey_arrow.png,1805.4549
type_2,black_arrow.png,2549.6946
type_2,brown_diamond.png,2294.486
type_2,blue_triangle.png,3211.6287
type_3,sonce_lok.png,803.6021
type_3,pink_hourglass.png,1926.6056
type_3,lila_stick.png,1969.8296
type_1,pink_purple_asterix.png,1287.9484
type_1,green_pentagonn.png,1418.249
type_1,yellow_srp.png,2171.633
type_3,sonce_lok.png,964.2122
type_3,pink_hourglass.png,8422.3411
type_3,oceanblue_splash.png,1684.5942
type_2,black_arrow.png,783.4524
type_2,brown_diamond.png,4415.9492
type_2,blue_triangle.png,3229.251
type_2,black_arrow.png,1159.5033
type_2,red_heart.png,937.0607
type_2,pale_cross.png,993.5643
type_2,fuxia_flag.png,2505.9506
type_2,red_heart.png,1202.6719
type_2,pale_cross.png,524.1663
type_1,burgundy_spaka.png,6115.3315
type_1,lime_moon.png,2604.9874
type_1,grey_arrow.png,2988.1571
type_3,sonce_lok.png,799.261
type_3,turquoise_cross.png,6182.9273
type_3,frog_kot.png,1547.8365
type_1,pink_purple_asterix.png,1549.9585
type_1,green_pentagonn.png,1578.5271
type_1,yellow_srp.png,1988.6126
type_3,sonce_lok.png,729.5774
type_3,pink_hourglass.png,3233.9828
type_3,oceanblue_splash.png,2724.1792
type_1,burgundy_spaka.png,1172.4327
type_1,green_pentagonn.png,1569.5976
type_1,turquoisedark_yes.png,1884.2194
type_1,pink_purple_asterix.png,980.3813
type_1,lime_moon.png,1594.1093
type_1,orange_square.png,4570.4807
type_3,sonce_lok.png,756.6848
type_3,turquoise_cross.png,3137.9468
type_3,purple_circle.png,3197.9371
type_2,fuxia_flag.png,742.8169
type_2,brown_diamond.png,1085.1801
type_2,blue_triangle.png,1219.8907
type_3,sonce_lok.png,719.7529
type_3,pink_hourglass.png,3424.9361
type_3,lila_stick.png,894.0842
