triplet_name,shape_name,RT
type_2,lime_moon.png,2313.296
type_2,green_pentagonn.png,1905.8952
type_2,turquoise_cross.png,2683.2847
type_2,lime_moon.png,1662.4314
type_2,pink_hourglass.png,2087.0354
type_2,burgundy_spaka.png,2764.0751
type_1,turquoisedark_yes.png,2017.5154
type_1,blue_triangle.png,2316.4431
type_1,grey_arrow.png,2884.6876
type_2,lila_stick.png,2516.2678
type_2,pink_hourglass.png,2193.1932
type_2,burgundy_spaka.png,2732.0631
type_2,lila_stick.png,1656.4026
type_2,green_pentagonn.png,2366.5259
type_2,turquoise_cross.png,2190.212
type_1,yellow_srp.png,2442.84
type_1,blue_triangle.png,1982.256
type_1,orange_square.png,2099.4379
type_3,fuxia_flag.png,3034.2876
type_3,brown_diamond.png,3040.5447
type_3,pale_cross.png,1974.871
type_3,fuxia_flag.png,2208.5493
type_3,frog_kot.png,2572.9823
type_3,purple_circle.png,2320.4773
type_1,turquoisedark_yes.png,2328.2384
type_1,red_heart.png,2565.5537
type_1,pink_purple_asterix.png,1966.7178
type_3,fuxia_flag.png,2086.3652
type_3,brown_diamond.png,2163.0285
type_3,sonce_lok.png,2284.1373
type_1,yellow_srp.png,2761.3201
type_1,red_heart.png,1839.4496
type_1,black_arrow.png,2476.8944
type_3,fuxia_flag.png,2058.7028
type_3,frog_kot.png,2269.1672
type_3,oceanblue_splash.png,2319.7196
type_2,lila_stick.png,2160.5164
type_2,pink_hourglass.png,2537.7738
type_2,burgundy_spaka.png,3432.4407
type_3,fuxia_flag.png,2264.4747
type_3,frog_kot.png,2011.3367
type_3,purple_circle.png,2578.668
type_1,turquoisedark_yes.png,2371.2079
type_1,blue_triangle.png,6782.5795
type_1,grey_arrow.png,2766.9597
type_2,lila_stick.png,1995.9578
type_2,green_pentagonn.png,1950.456
type_2,turquoise_cross.png,2345.4608
type_3,fuxia_flag.png,2154.0799
type_3,brown_diamond.png,1887.869
type_3,sonce_lok.png,2099.1982
type_1,yellow_srp.png,1995.9134
type_1,red_heart.png,1727.3618
type_1,black_arrow.png,2686.4004
type_3,fuxia_flag.png,2522.4516
type_3,frog_kot.png,1774.3679
type_3,oceanblue_splash.png,2616.0511
type_2,lime_moon.png,2442.6065
type_2,pink_hourglass.png,2483.7526
type_2,burgundy_spaka.png,1792.1389
type_1,turquoisedark_yes.png,1853.6618
type_1,red_heart.png,1607.7643
type_1,pink_purple_asterix.png,1873.3901
type_1,yellow_srp.png,1839.1913
type_1,blue_triangle.png,1587.5012
type_1,orange_square.png,1740.4672
type_2,lime_moon.png,2113.7567
type_2,green_pentagonn.png,2110.3849
type_2,turquoise_cross.png,1564.3725
type_3,fuxia_flag.png,2485.0354
type_3,brown_diamond.png,2119.8503
type_3,pale_cross.png,2283.8545
type_1,yellow_srp.png,1840.0944
type_1,blue_triangle.png,1670.1196
type_1,orange_square.png,1548.4705
type_2,lime_moon.png,2236.4144
type_2,pink_hourglass.png,2098.1593
type_2,burgundy_spaka.png,1687.6373
type_1,yellow_srp.png,1880.8241
type_1,red_heart.png,1628.7556
type_1,black_arrow.png,1541.7303
type_2,lime_moon.png,1820.9312
type_2,green_pentagonn.png,1323.587
type_2,turquoise_cross.png,1366.4529
type_1,turquoisedark_yes.png,1456.5166
type_1,red_heart.png,1339.0182
type_1,pink_purple_asterix.png,2139.9384
type_3,fuxia_flag.png,1167.1306
type_3,frog_kot.png,1920.1997
type_3,purple_circle.png,1364.5037
type_2,lila_stick.png,1197.627
type_2,pink_hourglass.png,1904.5755
type_2,burgundy_spaka.png,1327.974
type_1,turquoisedark_yes.png,1425.6056
type_1,blue_triangle.png,1465.7132
type_1,grey_arrow.png,1831.3272
type_3,fuxia_flag.png,1359.1807
type_3,brown_diamond.png,1626.8263
type_3,sonce_lok.png,1403.2796
type_3,fuxia_flag.png,1704.7181
type_3,frog_kot.png,1801.8882
type_3,oceanblue_splash.png,1614.8993
type_2,lila_stick.png,1547.9407
type_2,green_pentagonn.png,1437.629
type_2,turquoise_cross.png,1324.9098
type_3,fuxia_flag.png,1864.3447
type_3,brown_diamond.png,1602.7896
type_3,pale_cross.png,1388.1506
type_1,yellow_srp.png,1346.6166
type_1,red_heart.png,1305.3074
type_1,black_arrow.png,1437.6419
type_1,turquoisedark_yes.png,1506.298
type_1,red_heart.png,1658.4747
type_1,pink_purple_asterix.png,1739.1895
type_1,yellow_srp.png,1570.5061
type_1,blue_triangle.png,1539.6209
type_1,orange_square.png,1474.1976
type_2,lila_stick.png,1804.79
type_2,pink_hourglass.png,2123.9027
type_2,burgundy_spaka.png,1641.804
type_3,fuxia_flag.png,1558.742
type_3,brown_diamond.png,2140.6073
type_3,pale_cross.png,1420.0988
type_3,fuxia_flag.png,1619.3477
type_3,frog_kot.png,1602.548
type_3,oceanblue_splash.png,1610.838
type_2,lime_moon.png,1422.3482
type_2,pink_hourglass.png,1447.8556
type_2,burgundy_spaka.png,1539.9652
type_3,fuxia_flag.png,1676.887
type_3,brown_diamond.png,1558.6638
type_3,sonce_lok.png,1659.9684
type_2,lila_stick.png,1497.3926
type_2,green_pentagonn.png,1948.2927
type_2,turquoise_cross.png,1502.0009
type_1,turquoisedark_yes.png,1963.6186
type_1,blue_triangle.png,1355.9497
type_1,grey_arrow.png,1558.0971
type_2,lime_moon.png,1467.9552
type_2,green_pentagonn.png,2099.1062
type_2,turquoise_cross.png,1447.694
type_3,fuxia_flag.png,1525.2447
type_3,frog_kot.png,1519.2989
type_3,purple_circle.png,1515.8993
type_1,yellow_srp.png,1914.1413
type_1,blue_triangle.png,1850.7292
type_1,orange_square.png,1468.6216
type_1,yellow_srp.png,1663.7517
type_1,red_heart.png,1344.9777
type_1,black_arrow.png,1494.6393
type_3,fuxia_flag.png,1781.0695
type_3,brown_diamond.png,1445.2303
type_3,pale_cross.png,1510.9311
type_2,lime_moon.png,1412.1108
type_2,pink_hourglass.png,1480.2035
type_2,burgundy_spaka.png,1507.0566
type_3,fuxia_flag.png,1526.5958
type_3,frog_kot.png,1578.3155
type_3,oceanblue_splash.png,1781.2052
type_3,fuxia_flag.png,1542.8585
type_3,brown_diamond.png,1359.4981
type_3,sonce_lok.png,1735.0248
type_2,lime_moon.png,1607.7316
type_2,green_pentagonn.png,1320.9955
type_2,turquoise_cross.png,1530.4808
type_3,fuxia_flag.png,1400.2778
type_3,frog_kot.png,1592.102
type_3,purple_circle.png,1365.1029
type_1,turquoisedark_yes.png,1889.6515
type_1,blue_triangle.png,1398.804
type_1,grey_arrow.png,1582.3448
type_1,turquoisedark_yes.png,1592.5316
type_1,red_heart.png,1435.2824
type_1,pink_purple_asterix.png,1787.6497
type_2,lila_stick.png,1507.7995
