triplet_name,shape_name,RT
type_1,sonce_lok.png,1849.6094
type_1,yellow_srp.png,1482.7877
type_1,fuxia_flag.png,1561.1964
type_2,oceanblue_splash.png,1746.7295
type_2,lime_moon.png,1223.7134
type_2,brown_diamond.png,1512.2439
type_1,sonce_lok.png,1191.6467
type_1,blue_triangle.png,1212.625
type_1,pale_cross.png,1506.2601
type_3,red_heart.png,1503.4511
type_3,green_pentagonn.png,1335.8816
type_3,orange_square.png,1225.7308
type_3,red_heart.png,1278.21
type_3,purple_circle.png,1321.0745
type_3,grey_arrow.png,1284.1338
type_2,turquoisedark_yes.png,1335.9384
type_2,lime_moon.png,1098.8848
type_2,brown_diamond.png,1197.3293
type_2,oceanblue_splash.png,1003.6344
type_2,black_arrow.png,1269.1882
type_2,lila_stick.png,1202.9102
type_1,pink_purple_asterix.png,1256.9401
type_1,yellow_srp.png,1076.8627
type_1,pink_hourglass.png,1283.8738
type_1,pink_purple_asterix.png,1230.717
type_1,blue_triangle.png,1161.3681
type_1,burgundy_spaka.png,1265.7205
type_2,turquoisedark_yes.png,1258.762
type_2,black_arrow.png,1202.7108
type_2,lila_stick.png,1180.2374
type_3,red_heart.png,1133.119
type_3,purple_circle.png,1136.4222
type_3,frog_kot.png,1387.6936
type_3,red_heart.png,1081.4347
type_3,green_pentagonn.png,1185.0629
type_3,turquoise_cross.png,1177.0543
type_1,pink_purple_asterix.png,1261.0433
type_1,blue_triangle.png,970.5269
type_1,burgundy_spaka.png,1251.6836
type_1,sonce_lok.png,1123.7822
type_1,blue_triangle.png,1137.6485
type_1,pale_cross.png,1093.9289
type_3,red_heart.png,1167.6385
type_3,green_pentagonn.png,1602.4283
type_3,turquoise_cross.png,1360.1417
type_2,oceanblue_splash.png,1251.1834
type_2,black_arrow.png,1142.2577
type_2,lila_stick.png,1153.6907
type_1,pink_purple_asterix.png,1292.3215
type_1,yellow_srp.png,1127.8909
type_1,pink_hourglass.png,1151.8539
type_2,oceanblue_splash.png,1375.2028
type_2,lime_moon.png,1383.1346
type_2,brown_diamond.png,1296.0061
type_2,turquoisedark_yes.png,1202.4045
type_2,black_arrow.png,1205.963
type_2,lila_stick.png,1132.5465
type_1,sonce_lok.png,1243.1053
type_1,yellow_srp.png,1435.6087
type_1,fuxia_flag.png,1453.7355
type_3,red_heart.png,1465.2131
type_3,green_pentagonn.png,1194.1257
type_3,orange_square.png,1417.8477
type_3,red_heart.png,1375.8983
type_3,purple_circle.png,1510.1008
type_3,frog_kot.png,1201.8678
type_3,red_heart.png,1225.6201
type_3,purple_circle.png,1258.2972
type_3,grey_arrow.png,1242.2058
type_2,turquoisedark_yes.png,1080.9025
type_2,lime_moon.png,1235.192
type_2,brown_diamond.png,1260.7291
type_3,red_heart.png,1187.9248
type_3,green_pentagonn.png,1043.2155
type_3,turquoise_cross.png,1104.3918
type_3,red_heart.png,1480.4601
type_3,purple_circle.png,1114.631
type_3,frog_kot.png,1240.2044
type_1,pink_purple_asterix.png,1117.815
type_1,yellow_srp.png,1258.9753
type_1,pink_hourglass.png,1023.8195
type_1,sonce_lok.png,1626.4317
type_1,yellow_srp.png,1262.2167
type_1,fuxia_flag.png,1333.062
type_2,turquoisedark_yes.png,1666.5526
type_2,lime_moon.png,1583.1078
type_2,brown_diamond.png,1524.8886
type_3,red_heart.png,1299.151
type_3,green_pentagonn.png,1452.9464
type_3,orange_square.png,1252.6576
type_1,pink_purple_asterix.png,1418.3709
type_1,blue_triangle.png,1225.07
type_1,burgundy_spaka.png,1247.6707
type_2,turquoisedark_yes.png,1316.1835
type_2,black_arrow.png,1101.4474
type_2,lila_stick.png,1256.4249
type_2,oceanblue_splash.png,1730.2985
type_2,black_arrow.png,1319.4025
type_2,lila_stick.png,1436.831
type_2,oceanblue_splash.png,1282.8457
type_2,lime_moon.png,1291.456
type_2,brown_diamond.png,1447.5426
type_1,sonce_lok.png,1035.3825
type_1,blue_triangle.png,1385.4868
type_1,pale_cross.png,1196.0001
type_3,red_heart.png,1404.9441
type_3,purple_circle.png,1569.0206
type_3,grey_arrow.png,1316.1338
type_3,red_heart.png,1278.6449
type_3,green_pentagonn.png,1286.4341
type_3,turquoise_cross.png,1521.6047
type_2,turquoisedark_yes.png,1261.6913
type_2,black_arrow.png,1213.7678
type_2,lila_stick.png,1299.5694
type_1,sonce_lok.png,1380.1594
type_1,blue_triangle.png,1169.3423
type_1,pale_cross.png,1409.4157
type_3,red_heart.png,1178.3286
type_3,green_pentagonn.png,1359.7366
type_3,orange_square.png,1441.605
type_3,red_heart.png,1268.2081
type_3,purple_circle.png,1491.5666
type_3,grey_arrow.png,1208.5637
type_1,sonce_lok.png,1208.7046
type_1,yellow_srp.png,1822.1334
type_1,fuxia_flag.png,1505.4766
type_2,oceanblue_splash.png,1118.6065
type_2,lime_moon.png,1494.4277
type_2,brown_diamond.png,1452.586
type_3,red_heart.png,1322.0374
type_3,purple_circle.png,1431.0324
type_3,frog_kot.png,1296.6087
type_1,pink_purple_asterix.png,1267.9101
type_1,yellow_srp.png,1429.6291
type_1,pink_hourglass.png,1664.6194
type_2,turquoisedark_yes.png,1525.1119
type_2,lime_moon.png,1626.8258
type_2,brown_diamond.png,1548.8843
type_2,oceanblue_splash.png,1789.8718
type_2,black_arrow.png,1367.9363
type_2,lila_stick.png,1117.1271
type_1,pink_purple_asterix.png,1323.3341
type_1,blue_triangle.png,1530.1522
type_1,burgundy_spaka.png,1826.4366
type_1,sonce_lok.png,1657.7195
type_1,yellow_srp.png,1484.8623
type_1,fuxia_flag.png,1515.294
type_1,sonce_lok.png,1271.3897
type_1,blue_triangle.png,1422.3268
type_1,pale_cross.png,1523.1796
type_3,red_heart.png,1140.432
type_3,purple_circle.png,1176.5567
type_3,frog_kot.png,1546.5829
type_2,turquoisedark_yes.png,1979.0715
type_2,lime_moon.png,1206.0984
type_2,brown_diamond.png,1194.3852
type_2,turquoisedark_yes.png,1455.9162
type_2,black_arrow.png,939.2565
type_2,lila_stick.png,1205.2276
type_2,oceanblue_splash.png,1483.0595
